totalPrice,Lng,Lat,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,elevator,fiveYearsProperty,subway
856.0,116.510719,39.927015000000004,156.16,3,2,1,2,4,3.0,2008,4,6,1.0,1.0,1.0
179.0,116.44653400000001,39.959314,41.55,1,1,1,1,0,4.0,1987,1,2,0.0,1.0,1.0
718.0,116.51848500000001,39.948840999999994,161.51,3,2,1,2,2,3.0,2007,4,6,1.0,1.0,0.0
358.0,116.420546,39.997876,55.09,2,1,1,1,1,4.0,1990,3,2,0.0,1.0,0.0
313.0,116.16906499999999,39.762892,88.84,2,1,1,1,1,4.0,2010,1,6,1.0,0.0,0.0
440.0,116.44578500000001,40.077726,106.14,2,1,1,1,1,4.0,2002,3,2,0.0,1.0,0.0
293.0,116.418047,39.876106,50.53,2,1,1,1,1,4.0,1980,3,2,0.0,0.0,1.0
405.0,116.334907,39.744008,121.56,2,1,1,2,0,4.0,2005,1,6,1.0,1.0,1.0
480.0,116.415742,40.077796,123.79,2,2,1,2,1,4.0,2003,4,2,1.0,0.0,1.0
220.0,116.40213999999999,39.857143,66.43,1,0,1,1,2,1.0,2007,3,6,1.0,0.0,1.0
446.0,116.43428700000001,39.952814000000004,57.5,2,1,1,1,2,4.0,1993,3,4,0.0,1.0,1.0
383.0,116.34663,40.096608,115.32,3,2,1,2,0,4.0,2008,4,6,1.0,1.0,1.0
485.0,116.423654,39.973703,66.24,2,1,1,1,1,1.0,1997,4,6,1.0,1.0,1.0
478.0,116.444721,39.890475,72.0,3,0,1,1,1,4.0,1980,3,4,0.0,1.0,0.0
301.0,116.416156,40.082584999999995,152.0,2,2,1,1,2,1.0,2003,4,6,1.0,1.0,1.0
960.0,116.374284,39.89445,117.46,3,1,1,2,1,1.0,2000,4,6,1.0,1.0,1.0
286.0,116.44931000000001,39.964914,56.91,1,1,1,1,0,1.0,2008,4,6,1.0,0.0,1.0
282.0,116.23378500000001,39.906862,62.38,2,1,1,1,1,4.0,1989,3,2,0.0,0.0,0.0
919.8,116.44015700000001,39.983438,102.35,3,1,1,1,1,4.0,1999,3,2,0.0,1.0,1.0
